mu         sigma        energy           err         delta       acc/att    iterations
0.98          0.46    -0.0217877    0.00200211           2.1        0.4965            29
0.98          0.48     -0.101355      0.001792           2.2         0.508            28
0.98           0.5     -0.166905    0.00151706           2.5        0.4945            25
0.98          0.52     -0.222757    0.00129662             3        0.4948            20
0.98          0.54     -0.260759    0.00125204           4.3         0.496             7
0.98          0.56     -0.290297    0.00137386           4.8         0.493             2
0.98          0.58     -0.305029     0.0013396           4.9        0.4967             1
0.98           0.6     -0.313352    0.00150403           5.1        0.5056             3
0.98          0.62     -0.311505     0.0018005           5.3        0.5032             5
0.98          0.64     -0.293173    0.00256295           5.4        0.5097             6
0.98          0.66     -0.274566    0.00245978           5.9        0.4989            11
0.98          0.68     -0.255865    0.00271955           6.1        0.5051            13
0.98           0.7     -0.229115    0.00310258           6.2        0.5006            14
0.98          0.72     -0.186985    0.00316191           6.3        0.4987            15
0.98          0.74      -0.14705    0.00363571           6.4        0.4983            16
0.98          0.76     -0.117815    0.00374005           6.3        0.5062            15
0.98          0.78    -0.0708538    0.00466341           6.5         0.509            17
0.98           0.8    -0.0240481    0.00489427           6.6        0.5084            18
1           0.4      0.324755    0.00371737           1.7        0.5037            33
1          0.42      0.196838    0.00289129           1.8        0.4925            32
1          0.44     0.0878642    0.00250215           1.9        0.5005            31
1          0.46   -0.00581666    0.00200469           2.1         0.495            29
1          0.48    -0.0815696    0.00157715           2.3        0.4914            27
1           0.5     -0.144162    0.00151374           2.6        0.4938            24
1          0.52     -0.197933    0.00132105           2.7        0.4975            23
1          0.54     -0.233467    0.00121215           3.4        0.4928            16
1          0.56      -0.25909    0.00123775           4.8        0.4976             2
1          0.58     -0.272806    0.00143558           4.9        0.4942             1
1           0.6     -0.280077    0.00150304             5        0.5007             2
1          0.62     -0.272681    0.00183602           5.5        0.5025             7
1          0.64      -0.26497    0.00193188           5.7        0.5023             9
1          0.66     -0.244904    0.00239293           5.8        0.4947            10
1          0.68     -0.222673    0.00260096           5.9        0.5097            11
1           0.7     -0.184138    0.00287016           6.3        0.5043            15
1          0.72      -0.15559    0.00355233           6.3        0.5095            15
1          0.74      -0.12021    0.00375521           6.3        0.5085            15
1          0.76    -0.0621171    0.00415334           6.5        0.4987            17
1          0.78    -0.0147181    0.00489348           6.6        0.5071            18
1           0.8     0.0243392    0.00547248           6.7        0.5024            19
